TF,olfactory,forebrain,rest,trigeminal,epibranchial,otic,adenohypophyseal,otic_vesicle,epibranchial_neurulation,trigeminal__neurulation,otic__neurulation,lens
Klf9,0,0,0,0,0,0,0,0,0,1,0,0
Bcl6,1,1,0,0,0,0,0,0,0,0,0,0
Tfap2a,1,1,1,1,1,1,1,1,1,1,0,1
Tfap2b,1,1,1,1,1,0,1,0,1,1,0,1
Tfap2c,1,1,1,1,1,0,0,0,1,1,0,1
Jdp2,0,0,0,0,0,0,0,0,1,0,0,1
Plagl1,1,1,0,0,0,0,0,0,1,1,0,0
Osr2,0,0,0,0,0,0,0,0,0,0,0,1
Egr1,1,1,1,1,1,0,0,0,1,1,0,1
E2f2,1,1,0,0,0,0,0,1,0,1,1,1
Elf3,1,1,0,0,0,0,0,0,0,0,0,1
Foxa2,0,1,0,0,0,0,0,0,0,0,0,0
Gata3,1,1,1,1,1,1,1,1,1,0,1,1
Six6,1,1,0,0,0,0,1,0,0,0,0,1
Hoxa3,0,0,0,0,0,0,0,0,1,0,0,0
Irf3,1,1,1,1,0,0,0,1,1,1,1,1
Srf,1,1,1,0,0,0,0,1,1,1,1,1
Myb,1,1,0,0,0,0,0,1,0,0,0,0
Mybl1,1,1,0,0,0,0,0,1,1,1,1,1
Rxra,1,1,0,0,0,0,0,0,0,0,0,0
Esrra,1,1,1,0,0,0,0,1,1,1,1,1
Tcf7,1,1,1,1,1,1,1,1,0,0,0,1
Lef1,1,1,1,1,1,1,1,1,1,1,0,1
Sox21,1,1,1,0,1,1,0,1,0,0,1,0
Sox13,1,1,1,0,1,1,1,1,1,0,0,1
Lhx2,1,1,0,0,0,0,0,0,0,0,0,0
Irx2,0,0,1,1,1,1,1,1,1,1,1,1
Dlx3,1,1,0,0,0,0,0,0,0,0,0,1
Otx1,1,1,0,0,0,0,0,0,0,1,0,1
Pknox1,1,1,1,0,1,1,1,1,1,1,1,1
Phox2a,0,0,0,0,1,1,0,0,1,0,0,0
Phox2b,0,0,0,0,0,0,0,0,1,0,0,0
Nkx2-5,0,0,0,0,0,0,1,0,0,0,0,0
Gsc,1,1,0,0,0,0,0,0,0,0,0,0
Msx2,1,1,1,1,1,0,1,0,1,0,0,1
Pitx1,1,1,1,1,0,0,1,0,0,1,0,1
Irx4,0,0,0,0,0,0,0,0,1,0,0,0
Otx2,1,1,1,1,1,0,1,0,1,1,0,1
Dlx2,0,0,0,0,0,0,0,1,1,0,0,1
Prrx1,0,0,1,0,0,0,0,0,0,0,0,0
Lmx1a,0,0,1,0,0,1,0,1,0,0,0,0
Shox2,0,0,0,0,0,0,0,0,1,1,1,0
Pitx2,1,1,0,0,0,0,1,0,0,0,0,1
Dmbx1,1,1,0,0,0,0,0,0,0,0,0,1
Dlx5,1,1,1,1,1,1,1,1,1,0,1,1
Irx3,0,0,1,1,1,1,1,1,1,1,1,1
