"ensembl_gene_id","phylostratum","Description"
"ENSMUSG00000074155",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000086875",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000006948",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079344",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000055193",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000004789",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000060161",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063089",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000047565",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000040452",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025949",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063133",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024766",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000059042",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000040420",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000031198",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000044485",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000053719",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000087303",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027428",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079342",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000019235",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000037603",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024768",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000092049",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063177",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024771",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000066516",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000060177",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030559",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038968",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024770",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000004788",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000062200",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000069972",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063713",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032384",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000066515",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027827",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000056078",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000066513",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025945",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024774",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000066512",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021245",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063903",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000003581",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000008822",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000008730",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000036196",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000037762",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000031202",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034290",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000012777",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032091",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000004473",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000015474",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030271",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000050370",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000006471",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024781",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038738",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022843",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000045932",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030272",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027430",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000074896",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079339",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000062488",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027431",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000067297",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034459",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063873",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038057",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000009378",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000033610",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034258",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027845",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038046",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000039405",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030621",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025246",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000043556",1,"Life before LCA of Cellular organisms  -  cellular organisms"
